Name,val_obj,AdamOptimizer-args-lr,DualEncoderModel-audio_enc-conv_dropout,DualEncoderModel-audio_enc-conv_fine_tune_from,DualEncoderModel-audio_enc-fc_dropout,DualEncoderModel-audio_enc-fc_units,DualEncoderModel-text_enc-fc_units,stop_metric,train_obj,id,sweep_num
dry-sweep-6,2.653614214,0.000118923,0.131090326,conv_block6,0.251180112,2048,512,2.653614214,1.092684031,u2lzpudi,6
graceful-sweep-56,2.688596455,0.000611959,0.22619486,conv_block4,0.160237792,2048,512,2.688596455,0.870977222,r9yojh9d,56
autumn-sweep-14,2.70152951,0.000513603,0.25270682,conv_block6,0.149930994,2048,256,2.70152951,0.764137577,c5c23c2v,14
absurd-sweep-25,2.773521337,2.51E-05,0.356389076,conv_block6,0.210490429,2048,2048,2.773521337,1.98691541,23s8b5gx,25
golden-sweep-27,2.796469399,0.000688087,0.312942217,conv_block6,0.22788436,1024,256,2.796469399,1.194478667,8inzscmc,27
olive-sweep-13,2.815479976,0.000736007,0.434493528,conv_block5,0.396857178,512,512,2.815479976,1.191978513,sg9lq41r,13
woven-sweep-53,2.817203724,0.000976999,0.263626749,conv_block6,0.472514222,1024,2048,2.817203724,0.997106096,xjiu8hqm,53
icy-sweep-37,2.84240106,0.00083025,0.412079622,conv_block5,0.422239409,512,256,2.84240106,1.239655507,9qdswb4n,37
scarlet-sweep-59,2.914861372,0.0009639,0.370339677,conv_block4,0.348141482,1024,2048,2.914861372,0.776519286,sllvoyxg,59
efficient-sweep-3,2.928651105,0.000869391,0.484423103,conv_block4,0.425873036,512,2048,2.928651105,1.298764148,0udx7zzs,3
